仕入日,店舗,仕入先コード,仕入先,部門コード,部門,商品コード,商品,税率,仕入数量,仕入単価,仕入金額,売単価,売価金額,粗利金額,粗利率
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4571432380245","エッセンス　ローション 150 ｍｌ","10.00","4.00","1500.00","6000","2750","11000","5000","45.45"
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4957272000763","コギトＥＳソープ 250 ｍｌ","10.00","2.00","1625.00","3250","2750","5500","2250","40.91"
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4957272001265","ＷＬ　Ｂ２ローション　１５０ｍｌ","10.00","2.00","1950.00","3900","3300","6600","2700","40.91"
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4957272001357","ホワイトリリーＶＣローション","10.00","1.00","2275.00","2275","3850","3850","1575","40.91"
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4957272001425","WLｳﾞｪｰﾙ","10.00","4.00","2925.00","11700","4950","19800","8100","40.91"
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4957272003030","ＷＬアンジェラケーキ     レフィル     Ｏー２","10.00","2.00","1950.00","3900","3300","6600","2700","40.91"
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4957272003573","ＷＬオスカーリンクル３５ｍｌ","10.00","1.00","5200.00","5200","8800","8800","3600","40.91"
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4957272003580","ＷＬオスカークリーム４０ｇ","10.00","2.00","7800.00","15600","13200","26400","10800","40.91"
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4957272100753","ＷＬペーパーマスク１０枚","10.00","3.00","100.00","300","330","990","690","69.7"
"2022/06/01","631　パスコ店","0939","大島店","04","化粧品","4957272201511","ＢＩＨＡＤＡクレンジング　 120 ｇ","10.00","1.00","2600.00","2600","4400","4400","1800","40.91"
"2022/06/01","631　パスコ店","0990","しみず倉庫","01","食品","4515748001722","アバロンプレミアム　９０粒","8.00","2.00","3000.00","6000","6264","12528","6528","52.11"
"2022/06/01","631　パスコ店","0990","しみず倉庫","01","食品","4573204100013","ビタミンＣプレミオ３００ＣＰ","8.00","5.00","3675.00","18375","7938","39690","21315","53.7"
"2022/06/01","631　パスコ店","0990","しみず倉庫","01","食品","4954097901701","秘境黒部天然水５００ｍｌ","8.00","24.00","61.00","1464","95","2280","816","35.79"
"2022/06/01","631　パスコ店","0990","しみず倉庫","01","食品","4954097910000","ファイトマンゼリー　エネルギー　１８０ｇ","8.00","6.00","65.00","390","100","600","210","35"
"2022/06/01","631　パスコ店","0990","しみず倉庫","01","食品","4954097915456","エブリサポート経口補水液５００ｍｌ","8.00","72.00","66.00","4752","149","10728","5976","55.7"
"2022/06/01","631　パスコ店","0990","しみず倉庫","01","食品","4970511225000","ＡＪＤカロリーカットＡ     ５００ｇ","8.00","2.00","389.00","778","645","1290","512","39.69"
"2022/06/01","631　パスコ店","0990","しみず倉庫","01","食品","4975175025157","大洋　炭酸水素ナトリウム　重曹　５００ｇ","8.00","1.00","138.00","138","524","524","386","73.66"
